Typology,Code Disease,Preferred term,Prevalence Type,Prevalence Value
Disease,352670,Autosomal dominant intermediate Charcot-Marie-Tooth disease type F,Cases/families,N/A
Disease,352670,Autosomal dominant intermediate Charcot-Marie-Tooth disease type F,Point prevalence,N/A
Disease,352675,X-linked Charcot-Marie-Tooth disease type 6,Cases/families,N/A
Disease,352675,X-linked Charcot-Marie-Tooth disease type 6,Point prevalence,N/A
Disease,352682,Cobblestone lissencephaly without muscular or ocular involvement,Cases/families,N/A
Disease,352682,Cobblestone lissencephaly without muscular or ocular involvement,Point prevalence,N/A
Disease,353253,Burning mouth syndrome,Point prevalence,N/A
Disease,353253,Burning mouth syndrome,Point prevalence,N/A
Disease,353220,Familial primary localized cutaneous amyloidosis,Point prevalence,N/A
Disease,352763,Scleredema,Point prevalence,N/A
Disease,352745,Oculocutaneous albinism type 7,Cases/families,N/A
Disease,352745,Oculocutaneous albinism type 7,Point prevalence,N/A
Morphological anomaly,353334,Congenital retinal arteriovenous communication,Point prevalence,N/A
Clinical subtype,353320,"Pyruvate carboxylase deficiency, benign type",Cases/families,N/A
Clinical subtype,353320,"Pyruvate carboxylase deficiency, benign type",Point prevalence,N/A
Etiological subtype,353327,Congenital myasthenic syndromes with glycosylation defect,Point prevalence,N/A
Clinical subtype,353308,"Pyruvate carboxylase deficiency, infantile type",Point prevalence,N/A
Clinical subtype,353314,"Pyruvate carboxylase deficiency, severe neonatal type",Point prevalence,N/A
Disease,353298,Roifman syndrome,Cases/families,N/A
Disease,353298,Roifman syndrome,Point prevalence,N/A
Etiological subtype,353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,Cases/families,N/A
Etiological subtype,353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,Point prevalence,N/A
Disease,352403,Spectrin-associated autosomal recessive cerebellar ataxia,Cases/families,N/A
Disease,352403,Spectrin-associated autosomal recessive cerebellar ataxia,Point prevalence,N/A
Disease,352333,Congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome,Cases/families,N/A
Disease,352333,Congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome,Point prevalence,N/A
Disease,352328,MEGDEL syndrome,Cases/families,N/A
Disease,352328,MEGDEL syndrome,Point prevalence,N/A
Disease,352447,Progressive external ophthalmoplegia-myopathy-emaciation syndrome,Cases/families,N/A
Disease,352447,Progressive external ophthalmoplegia-myopathy-emaciation syndrome,Point prevalence,N/A
Disease,352530,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,Cases/families,N/A
Disease,352530,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,Point prevalence,N/A
Disease,352563,Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,Cases/families,N/A
Disease,352563,Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,Point prevalence,N/A
Disease,352540,Oncogenic osteomalacia,Cases/families,N/A
Disease,352540,Oncogenic osteomalacia,Point prevalence,N/A
Disease,352479,ISPD-related limb-girdle muscular dystrophy R20,Cases/families,N/A
Disease,352479,ISPD-related limb-girdle muscular dystrophy R20,Point prevalence,N/A
Disease,352470,DNA2-related mitochondrial DNA deletion syndrome,Cases/families,N/A
Disease,352470,DNA2-related mitochondrial DNA deletion syndrome,Point prevalence,N/A
Disease,352490,Autism spectrum disorder due to AUTS2 deficiency,Cases/families,N/A
Disease,352490,Autism spectrum disorder due to AUTS2 deficiency,Point prevalence,N/A
Clinical syndrome,294422,Chronic intestinal failure,Prevalence at birth,N/A
Clinical syndrome,294422,Chronic intestinal failure,Point prevalence,N/A
Disease,293987,Rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome,Cases/families,N/A
Disease,293987,Rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome,Point prevalence,N/A
Malformation syndrome,294016,Microcephaly-capillary malformation syndrome,Cases/families,N/A
Malformation syndrome,294016,Microcephaly-capillary malformation syndrome,Point prevalence,N/A
Disease,294023,Neonatal inflammatory skin and bowel disease,Cases/families,N/A
Disease,294023,Neonatal inflammatory skin and bowel disease,Point prevalence,N/A
Malformation syndrome,294026,Syndactyly-nystagmus syndrome due to 2q31.1 microduplication,Cases/families,N/A
Malformation syndrome,294026,Syndactyly-nystagmus syndrome due to 2q31.1 microduplication,Point prevalence,N/A
Disease,293964,Hypoinsulinemic hypoglycemia and body hemihypertrophy,Cases/families,N/A
Disease,293964,Hypoinsulinemic hypoglycemia and body hemihypertrophy,Point prevalence,N/A
Malformation syndrome,293967,Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome,Cases/families,N/A
Malformation syndrome,293967,Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome,Point prevalence,N/A
Disease,293978,Deficiency in anterior pituitary function-variable immunodeficiency syndrome,Cases/families,N/A
Disease,293978,Deficiency in anterior pituitary function-variable immunodeficiency syndrome,Point prevalence,N/A
Malformation syndrome,293958,Hypertelorism-preauricular sinus-punctual pits-deafness syndrome,Cases/families,N/A
Malformation syndrome,293958,Hypertelorism-preauricular sinus-punctual pits-deafness syndrome,Point prevalence,N/A
Disease,293955,Childhood encephalopathy due to thiamine pyrophosphokinase deficiency,Cases/families,N/A
Disease,293955,Childhood encephalopathy due to thiamine pyrophosphokinase deficiency,Point prevalence,N/A
Malformation syndrome,293948,1p21.3 microdeletion syndrome,Cases/families,N/A
Malformation syndrome,293948,1p21.3 microdeletion syndrome,Point prevalence,N/A
Malformation syndrome,293939,Distal Xq28 microduplication syndrome,Cases/families,N/A
Malformation syndrome,293939,Distal Xq28 microduplication syndrome,Point prevalence,N/A
Disease,293936,EDICT syndrome,Cases/families,N/A
Disease,293936,EDICT syndrome,Point prevalence,N/A
Malformation syndrome,293925,Lethal occipital encephalocele-skeletal dysplasia syndrome,Cases/families,N/A
Malformation syndrome,293925,Lethal occipital encephalocele-skeletal dysplasia syndrome,Point prevalence,N/A
Malformation syndrome,293864,Hypoplastic pancreas-intestinal atresia-hypoplastic gallbladder syndrome,Cases/families,N/A
Malformation syndrome,293864,Hypoplastic pancreas-intestinal atresia-hypoplastic gallbladder syndrome,Point prevalence,N/A
Malformation syndrome,293843,3MC syndrome,Cases/families,N/A
Malformation syndrome,293843,3MC syndrome,Point prevalence,N/A
Disease,293822,MITF-related melanoma and renal cell carcinoma predisposition syndrome,Cases/families,N/A
Disease,293822,MITF-related melanoma and renal cell carcinoma predisposition syndrome,Point prevalence,N/A
Disease,293825,Congenital dyserythropoietic anemia type IV,Cases/families,N/A
Disease,293825,Congenital dyserythropoietic anemia type IV,Point prevalence,N/A
Disease,293812,Fixed drug eruption,Point prevalence,N/A
Disease,293807,Ketamine-induced biliary dilatation,Cases/families,N/A
Disease,293807,Ketamine-induced biliary dilatation,Point prevalence,N/A
Malformation syndrome,293725,"Blepharophimosis-intellectual disability syndrome, Verloes type",Point prevalence,N/A
Clinical group,293642,Blepharophimosis-intellectual disability syndrome,Cases/families,N/A
Clinical group,293642,Blepharophimosis-intellectual disability syndrome,Point prevalence,N/A
Malformation syndrome,293707,"Blepharophimosis-intellectual disability syndrome, MKB type",Point prevalence,N/A
Morphological anomaly,294975,Isolated absence of upper arm and forearm with hand present,Prevalence at birth,N/A
Morphological anomaly,294975,Isolated absence of upper arm and forearm with hand present,Point prevalence,N/A
Clinical group,294963,Popliteal pterygium syndrome,Prevalence at birth,N/A
Morphological anomaly,294971,Isolated tetra-amelia,Point prevalence,N/A
Clinical subtype,289863,Atypical glycine encephalopathy,Cases/families,N/A
Clinical subtype,289863,Atypical glycine encephalopathy,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,289877,Transient hyperammonemia of the newborn,Point prevalence,N/A
Clinical subtype,289916,Vitamin B12-unresponsive methylmalonic acidemia type mut0,Point prevalence,N/A
Disease,289661,Epstein-Barr virus-positive diffuse large B-cell lymphoma,Annual incidence,N/A
Disease,289661,Epstein-Barr virus-positive diffuse large B-cell lymphoma,Point prevalence,N/A
Clinical subtype,289857,Neonatal glycine encephalopathy,Point prevalence,N/A
Clinical subtype,289860,Infantile glycine encephalopathy,Point prevalence,N/A
Disease,289560,Mitochondrial membrane protein-associated neurodegeneration,Point prevalence,N/A
Malformation syndrome,289553,Dysmorphism-conductive hearing loss-heart defect syndrome,Point prevalence,N/A
Disease,289548,Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,Point prevalence,N/A
Disease,289539,BAP1-related tumor predisposition syndrome,Point prevalence,N/A
Disease,289601,Hereditary arterial and articular multiple calcification syndrome,Point prevalence,N/A
Disease,289601,Hereditary arterial and articular multiple calcification syndrome,Cases/families,N/A
Disease,289596,Juvenile nasopharyngeal angiofibroma,Point prevalence,N/A
Disease,289596,Juvenile nasopharyngeal angiofibroma,Annual incidence,N/A
Disease,289586,Exfoliative ichthyosis,Point prevalence,N/A
Clinical group,293355,Methylmalonic acidemia without homocystinuria,Point prevalence,N/A
Clinical group,293355,Methylmalonic acidemia without homocystinuria,Point prevalence,N/A
Disease,293375,Grayson-Wilbrandt corneal dystrophy,Cases/families,N/A
Disease,293375,Grayson-Wilbrandt corneal dystrophy,Point prevalence,N/A
Disease,293381,Epithelial recurrent erosion dystrophy,Cases/families,N/A
Disease,293381,Epithelial recurrent erosion dystrophy,Point prevalence,N/A
Disease,293462,Pre-Descemet corneal dystrophy,Cases/families,N/A
Disease,293462,Pre-Descemet corneal dystrophy,Point prevalence,N/A
Disease,293603,Congenital hereditary endothelial dystrophy type II,Point prevalence,N/A
Disease,293621,X-linked endothelial corneal dystrophy,Cases/families,N/A
Disease,293621,X-linked endothelial corneal dystrophy,Point prevalence,N/A
Disease,811,Shwachman-Diamond syndrome,Prevalence at birth,N/A
Disease,811,Shwachman-Diamond syndrome,Prevalence at birth,N/A
Disease,811,Shwachman-Diamond syndrome,Prevalence at birth,N/A
Disease,811,Shwachman-Diamond syndrome,Prevalence at birth,N/A
Disease,811,Shwachman-Diamond syndrome,Prevalence at birth,N/A
Disease,811,Shwachman-Diamond syndrome,Prevalence at birth,N/A
Disease,811,Shwachman-Diamond syndrome,Point prevalence,N/A
Disease,293168,Infantile-onset ascending hereditary spastic paralysis,Cases/families,N/A
Disease,293168,Infantile-onset ascending hereditary spastic paralysis,Point prevalence,N/A
Disease,293165,Skin fragility-woolly hair-palmoplantar keratoderma syndrome,Cases/families,N/A
Disease,293165,Skin fragility-woolly hair-palmoplantar keratoderma syndrome,Point prevalence,N/A
Clinical subtype,428,Autosomal dominant hypocalcemia,Point prevalence,N/A
Clinical subtype,428,Autosomal dominant hypocalcemia,Point prevalence,N/A
Clinical subtype,428,Autosomal dominant hypocalcemia,Point prevalence,N/A
Disease,293181,Epilepsy of infancy with migrating focal seizures,Cases/families,N/A
Disease,293181,Epilepsy of infancy with migrating focal seizures,Point prevalence,N/A
Disease,293181,Epilepsy of infancy with migrating focal seizures,Point prevalence,N/A
Disease,293181,Epilepsy of infancy with migrating focal seizures,Prevalence at birth,N/A
Disease,2298,Insulin-resistance syndrome type B,Point prevalence,N/A
Clinical group,2207,Familial primary hyperparathyroidism,Point prevalence,N/A
Disease,293173,Acute generalized exanthematous pustulosis,Annual incidence,N/A
Disease,293173,Acute generalized exanthematous pustulosis,Annual incidence,N/A
Disease,293173,Acute generalized exanthematous pustulosis,Point prevalence,N/A
Clinical subtype,293199,Pleomorphic rhabdomyosarcoma,Annual incidence,N/A
Clinical subtype,293199,Pleomorphic rhabdomyosarcoma,Point prevalence,N/A
Malformation syndrome,393,"46,XX testicular difference of sex development",Point prevalence,N/A
Disease,293202,Epithelioid sarcoma,Annual incidence,N/A
Disease,293202,Epithelioid sarcoma,Point prevalence,N/A
Disease,293202,Epithelioid sarcoma,Annual incidence,N/A
Clinical subtype,293284,Tetrahydrobiopterin-responsive hyperphenylalaninemia/phenylketonuria,Point prevalence,N/A
Disease,293208,Celiac artery compression syndrome,Point prevalence,N/A
Disease,2459,Mansonelliasis,Point prevalence,N/A
Disease,2459,Mansonelliasis,Point prevalence,N/A
Disease,2404,Loiasis,Point prevalence,N/A
Disease,2404,Loiasis,Point prevalence,N/A
Clinical subtype,2394,Pyruvate dehydrogenase E3 deficiency,Cases/families,N/A
Clinical subtype,2394,Pyruvate dehydrogenase E3 deficiency,Point prevalence,N/A
Morphological anomaly,2356,Arachnoid cyst,Point prevalence,N/A
Disease,829,Adult-onset Still disease,Annual incidence,N/A
Disease,829,Adult-onset Still disease,Annual incidence,N/A
Disease,829,Adult-onset Still disease,Point prevalence,N/A
Disease,829,Adult-onset Still disease,Annual incidence,N/A
Disease,829,Adult-onset Still disease,Point prevalence,N/A
Disease,829,Adult-onset Still disease,Point prevalence,N/A
Disease,829,Adult-onset Still disease,Annual incidence,N/A
Disease,829,Adult-onset Still disease,Point prevalence,N/A
Disease,1929,Rasmussen subacute encephalitis,Cases/families,N/A
Disease,1929,Rasmussen subacute encephalitis,Point prevalence,N/A
Disease,1183,Opsoclonus-myoclonus syndrome,Annual incidence,N/A
Disease,1183,Opsoclonus-myoclonus syndrome,Point prevalence,N/A
Disease,1183,Opsoclonus-myoclonus syndrome,Annual incidence,N/A
Disease,2688,Adult idiopathic neutropenia,Annual incidence,N/A
Disease,2688,Adult idiopathic neutropenia,Point prevalence,N/A
Disease,2686,Cyclic neutropenia,Point prevalence,N/A
Disease,890,Hepatic veno-occlusive disease,Point prevalence,N/A
Clinical group,176,Non-rhizomelic chondrodysplasia punctata,Point prevalence,N/A
Disease,231,Dracunculiasis,Point prevalence,N/A
Disease,231,Dracunculiasis,Point prevalence,N/A
Disease,2035,Lymphatic filariasis,Point prevalence,N/A
Disease,2035,Lymphatic filariasis,Point prevalence,N/A
Disease,284448,CLIPPERS,Cases/families,N/A
Disease,284448,CLIPPERS,Point prevalence,N/A
Disease,284454,Acute zonal occult outer retinopathy,Cases/families,N/A
Disease,284454,Acute zonal occult outer retinopathy,Point prevalence,N/A
Disease,284460,Acute annular outer retinopathy,Cases/families,N/A
Disease,284460,Acute annular outer retinopathy,Point prevalence,N/A
Etiological subtype,284417,"Phosphoserine aminotransferase deficiency, infantile/juvenile form",Point prevalence,N/A
Clinical subtype,284426,Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency,Point prevalence,N/A
Clinical subtype,284435,Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency,Point prevalence,N/A
Disease,284984,Aneurysm-osteoarthritis syndrome,Cases/families,N/A
Disease,284984,Aneurysm-osteoarthritis syndrome,Point prevalence,N/A
Disease,284979,Neonatal Marfan syndrome,Point prevalence,N/A
Malformation syndrome,289365,Familial vesicoureteral reflux,Point prevalence,N/A
Disease,289347,Infective dermatitis associated with HTLV-1,Point prevalence,N/A
Disease,289356,Primary non-gestational choriocarcinoma of ovary,Point prevalence,N/A
Disease,289377,Early-onset myopathy with fatal cardiomyopathy,Point prevalence,N/A
Disease,289380,Myosclerosis,Point prevalence,N/A
Disease,289290,Hypermethioninemia encephalopathy due to adenosine kinase deficiency,Point prevalence,N/A
Disease,289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,Point prevalence,N/A
Disease,289326,Tropical spastic paraparesis,Point prevalence,N/A
Disease,289307,Developmental delay due to methylmalonate semialdehyde dehydrogenase deficiency,Point prevalence,N/A
Disease,289504,Combined malonic and methylmalonic acidemia,Annual incidence,N/A
Disease,289504,Combined malonic and methylmalonic acidemia,Point prevalence,N/A
Malformation syndrome,289499,Congenital cataract microcornea with corneal opacity,Point prevalence,N/A
Disease,289494,4H leukodystrophy,Point prevalence,N/A
Disease,289494,4H leukodystrophy,Cases/families,N/A
Malformation syndrome,289522,Microtriplication 11q24.1 syndrome,Cases/families,N/A
Malformation syndrome,289522,Microtriplication 11q24.1 syndrome,Point prevalence,N/A
Malformation syndrome,289513,12q15q21.1 microdeletion syndrome,Cases/families,N/A
Malformation syndrome,289513,12q15q21.1 microdeletion syndrome,Point prevalence,N/A
Disease,289465,Isolated congenital adermatoglyphia,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Annual incidence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Point prevalence,N/A
Disease,289390,Primary Sjögren syndrome,Annual incidence,N/A
Disease,289390,Primary Sjögren syndrome,Annual incidence,N/A
Disease,289390,Primary Sjögren syndrome,Annual incidence,N/A
Disease,289390,Primary Sjögren syndrome,Annual incidence,N/A
Particular clinical situation in a disease or syndrome,289385,Malignancy diagnosed during pregnancy,Point prevalence,N/A
Disease,289483,Intellectual disability-alacrima-achalasia syndrome,Point prevalence,N/A
Disease,289478,PASH syndrome,Point prevalence,N/A
Disease,289478,PASH syndrome,Cases/families,N/A
Disease,289176,Autosomal recessive hypophosphatemic rickets,Point prevalence,N/A
Disease,289157,Hypocalcemic vitamin D-dependent rickets,Point prevalence,N/A
Disease,280921,Idiopathic panuveitis,Point prevalence,N/A
Disease,280921,Idiopathic panuveitis,Annual incidence,N/A
Disease,280921,Idiopathic panuveitis,Point prevalence,N/A
Disease,280921,Idiopathic panuveitis,Annual incidence,N/A
Category,280898,Panuveitis,Point prevalence,N/A
Category,280892,Posterior uveitis,Point prevalence,N/A
Category,280886,Anterior uveitis,Point prevalence,N/A
Category,280886,Anterior uveitis,Point prevalence,N/A
Clinical group,281103,Keratinopathic ichthyosis,Point prevalence,N/A
Clinical group,281097,Autosomal recessive congenital ichthyosis,Annual incidence,N/A
Clinical group,281097,Autosomal recessive congenital ichthyosis,Point prevalence,N/A
Clinical group,281097,Autosomal recessive congenital ichthyosis,Point prevalence,N/A
Clinical group,281097,Autosomal recessive congenital ichthyosis,Annual incidence,N/A
Disease,281090,Syndromic recessive X-linked ichthyosis,Point prevalence,N/A
Category,281085,Inherited ichthyosis syndromic form,Point prevalence,N/A
Category,281082,Inherited non-syndromic ichthyosis,Point prevalence,N/A
Disease,281190,Congenital reticular ichthyosiform erythroderma,Cases/families,N/A
Disease,281190,Congenital reticular ichthyosiform erythroderma,Point prevalence,N/A
Disease,281201,Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome,Point prevalence,N/A
Disease,281139,Annular epidermolytic ichthyosis,Cases/families,N/A
Disease,281139,Annular epidermolytic ichthyosis,Point prevalence,N/A
Disease,281122,Self-improving collodion baby,Cases/families,N/A
Disease,281122,Self-improving collodion baby,Point prevalence,N/A
Disease,281127,Acral self-healing collodion baby,Cases/families,N/A
Disease,281127,Acral self-healing collodion baby,Point prevalence,N/A
Disease,280628,Familial progressive hyper- and hypopigmentation,Cases/families,N/A
Disease,280628,Familial progressive hyper- and hypopigmentation,Point prevalence,N/A
Malformation syndrome,280633,Multiple congenital anomalies-hypotonia-seizures syndrome,Cases/families,N/A
Malformation syndrome,280633,Multiple congenital anomalies-hypotonia-seizures syndrome,Point prevalence,N/A
Disease,280615,Hemoglobinopathy Toms River,Cases/families,N/A
Disease,280615,Hemoglobinopathy Toms River,Point prevalence,N/A
Disease,280598,Hereditary sensorimotor neuropathy with hyperelastic skin,Cases/families,N/A
Disease,280598,Hereditary sensorimotor neuropathy with hyperelastic skin,Point prevalence,N/A
Disease,280620,Progressive myoclonic epilepsy type 6,Cases/families,N/A
Disease,280620,Progressive myoclonic epilepsy type 6,Point prevalence,N/A
Disease,280671,Megaconial congenital muscular dystrophy,Cases/families,N/A
Disease,280671,Megaconial congenital muscular dystrophy,Point prevalence,N/A
Malformation syndrome,280640,Occipital pachygyria and polymicrogyria,Cases/families,N/A
Malformation syndrome,280640,Occipital pachygyria and polymicrogyria,Point prevalence,N/A
Disease,280654,Autosomal recessive nail dysplasia,Cases/families,N/A
Disease,280654,Autosomal recessive nail dysplasia,Point prevalence,N/A
Disease,280779,Cutaneous collagenous vasculopathy,Cases/families,N/A
Disease,280779,Cutaneous collagenous vasculopathy,Point prevalence,N/A
Clinical subtype,280785,Bullous diffuse cutaneous mastocytosis,Cases/families,N/A
Clinical subtype,280785,Bullous diffuse cutaneous mastocytosis,Point prevalence,N/A
Clinical subtype,280794,Pseudoxanthomatous diffuse cutaneous mastocytosis,Cases/families,N/A
Clinical subtype,280794,Pseudoxanthomatous diffuse cutaneous mastocytosis,Point prevalence,N/A
Disease,280679,Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome,Cases/families,N/A
Disease,280679,Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome,Point prevalence,N/A
Disease,280763,Severe intellectual disability and progressive spastic paraplegia,Cases/families,N/A
Disease,280763,Severe intellectual disability and progressive spastic paraplegia,Point prevalence,N/A
Disease,280774,Generalized essential telangiectasia,Point prevalence,N/A
Malformation syndrome,284149,Craniosynostosis-dental anomalies,Point prevalence,N/A
Malformation syndrome,284139,"Larsen-like syndrome, B3GAT3 type",Cases/families,N/A
Malformation syndrome,284139,"Larsen-like syndrome, B3GAT3 type",Point prevalence,N/A
Malformation syndrome,284180,Xp22.13p22.2 duplication syndrome,Point prevalence,N/A
Clinical subtype,284169,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion,Point prevalence,N/A
Clinical subtype,284169,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion,Cases/families,N/A
Malformation syndrome,284160,8q21.11 microdeletion syndrome,Cases/families,N/A
Malformation syndrome,284160,8q21.11 microdeletion syndrome,Point prevalence,N/A
Malformation syndrome,284247,Familial retinal arterial macroaneurysm,Point prevalence,N/A
Disease,284232,Autosomal dominant Charcot-Marie-Tooth disease type 2O,Point prevalence,N/A
Clinical syndrome,284227,TEMPI syndrome,Cases/families,N/A
Clinical syndrome,284227,TEMPI syndrome,Point prevalence,N/A
Disease,284271,Autosomal recessive cerebellar ataxia-psychomotor delay syndrome,Point prevalence,N/A
Clinical group,284264,IgG4-related disease,Point prevalence,N/A
Disease,284324,Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia,Point prevalence,N/A
Disease,284282,Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to WWOX deficiency,Point prevalence,N/A
Disease,284289,Adult-onset autosomal recessive cerebellar ataxia,Point prevalence,N/A
Disease,284289,Adult-onset autosomal recessive cerebellar ataxia,Cases/families,N/A
Disease,284343,DICER1 tumor-predisposition syndrome,Annual incidence,N/A
Disease,284332,Infantile-onset autosomal recessive nonprogressive cerebellar ataxia,Point prevalence,N/A
Malformation syndrome,284339,Pontocerebellar hypoplasia type 7,Cases/families,N/A
Malformation syndrome,284339,Pontocerebellar hypoplasia type 7,Point prevalence,N/A
Clinical syndrome,284388,Reversible cerebral vasoconstriction syndrome,Point prevalence,N/A
Disease,284395,Well-differentiated fetal adenocarcinoma of the lung,Point prevalence,N/A
Disease,284400,Small cell carcinoma of the bladder,Annual incidence,N/A
Disease,284400,Small cell carcinoma of the bladder,Point prevalence,N/A
Disease,284400,Small cell carcinoma of the bladder,Annual incidence,N/A
Disease,282166,Inherited Creutzfeldt-Jakob disease,Point prevalence,N/A
Disease,309854,Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome,Cases/families,N/A
Disease,309854,Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome,Point prevalence,N/A
Disease,314029,High bone mass osteogenesis imperfecta,Cases/families,N/A
Disease,314029,High bone mass osteogenesis imperfecta,Point prevalence,N/A
Disease,314022,Gastric adenocarcinoma and proximal polyposis of the stomach,Cases/families,N/A
Disease,314022,Gastric adenocarcinoma and proximal polyposis of the stomach,Point prevalence,N/A
Disease,314017,Idiopathic linear interstitial keratitis,Point prevalence,N/A
Malformation syndrome,314002,Contractures-webbed neck-micrognathia-hypoplastic nipples syndrome,Cases/families,N/A
Malformation syndrome,314002,Contractures-webbed neck-micrognathia-hypoplastic nipples syndrome,Point prevalence,N/A
Malformation syndrome,313947,2q23.1 microduplication syndrome,Cases/families,N/A
Malformation syndrome,313947,2q23.1 microduplication syndrome,Point prevalence,N/A
Disease,313936,PENS syndrome,Cases/families,N/A
Disease,313936,PENS syndrome,Point prevalence,N/A
Disease,313920,Epstein-Barr virus-associated gastric carcinoma,Annual incidence,N/A
Disease,313920,Epstein-Barr virus-associated gastric carcinoma,Point prevalence,N/A
Morphological anomaly,313906,Congenital pancreatic cyst,Cases/families,N/A
Morphological anomaly,313906,Congenital pancreatic cyst,Point prevalence,N/A
Clinical subtype,313892,Developmental and speech delay due to SOX5 deficiency,Cases/families,N/A
Clinical subtype,313892,Developmental and speech delay due to SOX5 deficiency,Point prevalence,N/A
Clinical subtype,313884,12p12.1 microdeletion syndrome,Cases/families,N/A
Clinical subtype,313884,12p12.1 microdeletion syndrome,Point prevalence,N/A
Disease,313855,FGFR2-related bent bone dysplasia,Cases/families,N/A
Disease,313855,FGFR2-related bent bone dysplasia,Point prevalence,N/A
Disease,313850,Infantile cerebellar-retinal degeneration,Cases/families,N/A
Disease,313850,Infantile cerebellar-retinal degeneration,Point prevalence,N/A
Disease,313846,Familial cutaneous telangiectasia and oropharyngeal cancer predisposition syndrome,Cases/families,N/A
Disease,313846,Familial cutaneous telangiectasia and oropharyngeal cancer predisposition syndrome,Point prevalence,N/A
Disease,313838,Coats plus syndrome,Point prevalence,N/A
Disease,313800,Retinal dystrophy-optic nerve edema-splenomegaly-anhidrosis-migraine headache syndrome,Cases/families,N/A
Disease,313800,Retinal dystrophy-optic nerve edema-splenomegaly-anhidrosis-migraine headache syndrome,Point prevalence,N/A
Disease,313808,Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,Cases/families,N/A
Disease,313808,Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,Point prevalence,N/A
Malformation syndrome,313781,20p13 microdeletion syndrome,Cases/families,N/A
Malformation syndrome,313781,20p13 microdeletion syndrome,Point prevalence,N/A
Malformation syndrome,313795,Jawad syndrome,Cases/families,N/A
Malformation syndrome,313795,Jawad syndrome,Point prevalence,N/A
Disease,313772,Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome,Cases/families,N/A
Disease,313772,Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome,Point prevalence,N/A
Disease,314603,Autosomal recessive spastic ataxia with leukoencephalopathy,Cases/families,N/A
Disease,314603,Autosomal recessive spastic ataxia with leukoencephalopathy,Point prevalence,N/A
Malformation syndrome,314597,Chudley-McCullough syndrome,Cases/families,N/A
Malformation syndrome,314597,Chudley-McCullough syndrome,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,314613,Growing teratoma syndrome,Point prevalence,N/A
Malformation syndrome,314575,Intellectual disability-hypotonia-brachycephaly-pyloric stenosis-cryptorchidism syndrome,Cases/families,N/A
Malformation syndrome,314575,Intellectual disability-hypotonia-brachycephaly-pyloric stenosis-cryptorchidism syndrome,Point prevalence,N/A
Disease,314572,Autosomal recessive leukoencephalopathy-ischemic stroke-retinitis pigmentosa syndrome,Cases/families,N/A
Disease,314572,Autosomal recessive leukoencephalopathy-ischemic stroke-retinitis pigmentosa syndrome,Point prevalence,N/A
Etiological subtype,314588,Distal triplication 15q syndrome,Cases/families,N/A
Etiological subtype,314588,Distal triplication 15q syndrome,Point prevalence,N/A
Malformation syndrome,314585,15q overgrowth syndrome,Cases/families,N/A
Malformation syndrome,314585,15q overgrowth syndrome,Point prevalence,N/A
